date,BTC USD,buy bitcoin,isPartial
2018-08-05,9,4,False
2018-08-06,11,3,False
2018-08-07,10,4,False
2018-08-08,13,4,False
2018-08-09,12,4,False
2018-08-10,10,3,False
2018-08-11,11,5,False
2018-08-12,10,3,False
2018-08-13,11,4,False
2018-08-14,12,4,False
2018-08-15,12,3,False
2018-08-16,10,3,False
2018-08-17,10,3,False
2018-08-18,9,4,False
2018-08-19,9,2,False
2018-08-20,10,2,False
2018-08-21,9,3,False
2018-08-22,10,3,False
2018-08-23,10,3,False
2018-08-24,9,3,False
2018-08-25,8,3,False
2018-08-26,8,3,False
2018-08-27,9,3,False
2018-08-28,11,3,False
2018-08-29,11,3,False
2018-08-30,10,3,False
2018-08-31,10,3,False
2018-09-01,10,3,False
2018-09-02,10,4,False
2018-09-03,10,3,False
2018-09-04,11,3,False
2018-09-05,12,4,False
2018-09-06,13,4,False
2018-09-07,10,3,False
2018-09-08,10,4,False
2018-09-09,9,4,False
2018-09-10,9,3,False
2018-09-11,9,3,False
2018-09-12,10,3,False
2018-09-13,10,3,False
2018-09-14,10,3,False
2018-09-15,8,3,False
2018-09-16,9,3,False
2018-09-17,8,3,False
2018-09-18,8,3,False
2018-09-19,7,3,False
2018-09-20,8,3,False
2018-09-21,10,3,False
2018-09-22,8,4,False
2018-09-23,8,2,False
2018-09-24,7,3,False
2018-09-25,8,3,False
2018-09-26,8,3,False
2018-09-27,9,3,False
2018-09-28,7,3,False
2018-09-29,7,3,False
2018-09-30,8,3,False
