"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2019-01-29 23:00:00+00:00",84,31,26992,False,"1h",0.36905,"2019-03-04 21:37:21.830874+00:00"
"2018-09-06 00:00:00+00:00",59,15,27113,False,"1d",0.25424,"2019-03-06 00:01:52.533521+00:00"
"2018-09-07 00:00:00+00:00",53,10,27114,False,"1d",0.18868,"2019-03-06 00:01:52.538773+00:00"
"2018-09-08 00:00:00+00:00",43,13,27115,False,"1d",0.30233,"2019-03-06 00:01:52.541695+00:00"
"2018-09-09 00:00:00+00:00",41,15,27116,False,"1d",0.36585,"2019-03-06 00:01:52.545314+00:00"
"2018-09-10 00:00:00+00:00",43,15,27117,False,"1d",0.34884,"2019-03-06 00:01:52.548318+00:00"
"2018-09-11 00:00:00+00:00",42,15,27118,False,"1d",0.35714,"2019-03-06 00:01:52.553800+00:00"
"2018-09-12 00:00:00+00:00",44,11,27119,False,"1d",0.25000,"2019-03-06 00:01:52.557175+00:00"
"2018-09-13 00:00:00+00:00",39,10,27120,False,"1d",0.25641,"2019-03-06 00:01:52.560289+00:00"
"2018-09-14 00:00:00+00:00",42,15,27121,False,"1d",0.35714,"2019-03-06 00:01:52.566891+00:00"
"2018-09-15 00:00:00+00:00",37,16,27122,False,"1d",0.43243,"2019-03-06 00:01:52.570852+00:00"
"2018-09-16 00:00:00+00:00",35,11,27123,False,"1d",0.31429,"2019-03-06 00:01:52.574136+00:00"
"2018-09-17 00:00:00+00:00",37,13,27124,False,"1d",0.35135,"2019-03-06 00:01:52.577427+00:00"
"2018-09-18 00:00:00+00:00",36,12,27125,False,"1d",0.33333,"2019-03-06 00:01:52.582194+00:00"
"2018-09-19 00:00:00+00:00",31,13,27126,False,"1d",0.41935,"2019-03-06 00:01:52.585534+00:00"
"2018-09-20 00:00:00+00:00",43,13,27127,False,"1d",0.30233,"2019-03-06 00:01:52.589755+00:00"
"2018-09-21 00:00:00+00:00",47,16,27128,False,"1d",0.34043,"2019-03-06 00:01:52.593328+00:00"
"2018-09-22 00:00:00+00:00",42,13,27129,False,"1d",0.30952,"2019-03-06 00:01:52.597278+00:00"
"2018-09-23 00:00:00+00:00",32,12,27130,False,"1d",0.37500,"2019-03-06 00:01:52.600743+00:00"
"2018-09-24 00:00:00+00:00",38,15,27131,False,"1d",0.39474,"2019-03-06 00:01:52.603903+00:00"
